user_id,Yearly_avg_view_on_travel_page,frequentflyer,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,annual_incom_class,member_in_family,booking_hotal,preferred_location_type,working_flag,travelling_rating
100001,97,0,Desktop,168,11,Avera,3,Yes,OTHER,1,3
100002,67,0,Mobile,875,8,Low,3,No,OTHER,1,2
100003,76,1,Mobile,67,10,Avera,5,Yes,Beach,1,1
100004,64,1,Mobile,249,10,High,1,No,Big Cities,1,3
100005,21,1,Mobile,695,4,High,3,Yes,OTHER,1,4
100006,83,0,Desktop,960,3,Low,3,No,OTHER,1,4
100007,18,0,Mobile,106,2,Avera,3,Yes,OTHER,1,3
100008,3,0,Mobile,403,2,High,3,No,OTHER,1,3
100009,84,0,Desktop,744,15,Avera,4,Yes,Trekking,1,4
100010,25,0,Desktop,962,13,Low,4,Yes,Islands,1,3
100011,27,1,Desktop,671,6,Avera,2,No,OTHER,1,5
100012,65,1,Desktop,262,6,High,1,No,Beach,1,2
100013,78,1,Desktop,829,12,Avera,1,No,Hill Station,1,5
100014,9,1,Mobile,37,6,High,5,No,Islands,1,4
100015,54,0,Desktop,727,0,High,2,Yes,OTHER,1,2
100016,51,0,Mobile,144,11,Avera,2,Yes,OTHER,1,5
100017,64,1,Mobile,12,15,Avera,4,No,Hill Station,1,5
100018,49,0,Desktop,794,1,Low,2,No,Beach,1,1
100019,95,0,Mobile,634,2,Avera,1,No,Trekking,1,3
100020,43,1,Desktop,509,8,Avera,4,Yes,Tech Cities,1,1
100021,5,0,Mobile,636,13,Avera,4,Yes,Tech Cities,0,4
100022,77,1,Mobile,899,12,Low,2,Yes,Hill Station,1,1
100023,70,0,Desktop,665,12,Low,5,No,OTHER,1,3
100024,39,0,Desktop,820,3,High,1,No,Islands,1,4
100025,76,0,Desktop,790,8,Avera,3,Yes,OTHER,1,2
100026,32,0,Mobile,615,14,Avera,4,No,OTHER,1,5
100027,94,0,Mobile,55,2,High,3,Yes,Trekking,1,3
100028,88,1,Desktop,694,9,Low,3,No,Hill Station,1,1
100029,23,0,Desktop,187,3,Low,1,Yes,OTHER,1,2
100030,9,0,Mobile,20,0,High,2,No,Hill Station,1,4
100031,54,1,Desktop,195,8,Avera,1,No,Historical Site,1,2
100032,11,0,Mobile,971,1,High,2,No,Beach,1,5
100033,47,0,Mobile,134,15,Low,2,Yes,Tech Cities,1,4
100034,35,1,Mobile,630,12,Low,5,Yes,OTHER,1,4
100035,76,1,Mobile,614,2,Avera,3,Yes,Hill Station,1,2
100036,6,1,Desktop,676,8,Low,2,Yes,Trekking,0,1
100037,11,1,Mobile,371,15,Avera,5,Yes,Historical Site,1,2
100038,91,0,Desktop,473,6,High,1,No,OTHER,1,1
100039,73,1,Desktop,184,1,High,1,Yes,OTHER,1,5
100040,53,0,Desktop,641,4,Avera,2,Yes,OTHER,1,1
100041,55,1,Desktop,231,2,Avera,4,Yes,Big Cities,1,1
100042,80,1,Mobile,761,2,Avera,2,Yes,Big Cities,1,1
100043,39,1,Desktop,795,8,Avera,5,Yes,OTHER,1,1
100044,65,1,Desktop,282,7,High,4,No,OTHER,0,3
100045,77,0,Desktop,847,11,Avera,1,No,OTHER,1,3
100046,10,1,Desktop,758,9,Low,1,No,OTHER,1,1
100047,30,1,Mobile,386,11,Low,3,No,Tech Cities,0,3
100048,94,1,Desktop,14,5,Low,4,No,OTHER,1,2
100049,10,0,Mobile,419,11,Low,1,No,OTHER,1,1
100050,7,1,Mobile,836,7,Avera,1,Yes,Tech Cities,1,5
100051,65,0,Mobile,33,2,Avera,2,Yes,Historical Site,1,2
100052,34,0,Desktop,22,8,Avera,1,Yes,OTHER,1,1
100053,75,1,Desktop,82,13,High,4,No,Big Cities,1,4
100054,57,0,Desktop,471,2,Avera,2,Yes,Tech Cities,1,5
100055,56,0,Desktop,300,13,Avera,3,Yes,Beach,1,3
100056,18,1,Mobile,439,10,Low,2,Yes,Tech Cities,1,1
100057,62,1,Mobile,330,0,High,5,No,OTHER,1,2
100058,59,0,Mobile,839,8,High,1,Yes,OTHER,1,2
100059,98,0,Desktop,479,14,High,2,Yes,Islands,1,3
100060,3,1,Mobile,81,4,Avera,2,No,Beach,1,4
100061,14,0,Desktop,342,15,High,3,Yes,OTHER,1,3
100062,52,1,Desktop,264,5,Avera,3,Yes,Tech Cities,1,3
100063,50,1,Mobile,992,13,Avera,1,Yes,Trekking,1,4
100064,63,0,Desktop,18,1,Avera,5,Yes,Tech Cities,0,4
100065,49,1,Desktop,854,11,High,4,Yes,OTHER,1,2
100066,40,1,Mobile,51,11,Low,5,Yes,Trekking,1,4
100067,54,0,Desktop,221,7,High,3,Yes,Trekking,1,5
100068,56,1,Desktop,519,10,Avera,2,Yes,OTHER,1,1
100069,67,0,Desktop,268,13,Avera,5,Yes,Hill Station,1,5
100070,47,1,Mobile,413,11,Avera,5,No,Hill Station,1,1
100071,60,0,Mobile,457,10,High,3,No,OTHER,1,1
100072,87,1,Mobile,33,6,Low,3,Yes,OTHER,0,4
100073,3,1,Desktop,31,10,Avera,3,No,Hill Station,1,2
100074,10,0,Desktop,738,3,Avera,5,Yes,Historical Site,1,3
100075,33,0,Desktop,948,7,Avera,1,Yes,Big Cities,0,1
100076,60,0,Desktop,560,0,Avera,3,No,Hill Station,1,2
