user_id,Yearly_avg_view_on_travel_page,frequentflyer,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,annual_incom_class,member_in_family,booking_hotal,preferred_location_type,working_flag,travelling_rating
100001,96.0,0.0,Desktop,168.0,11.0,Avera,3.0,Yes,OTHER,1.0,3.0
100002,67.0,0.0,Mobile,875.0,8.0,Low,3.0,No,OTHER,1.0,2.0
100003,76.0,1.0,Mobile,67.0,10.0,Avera,5.0,Yes,Beach,1.0,1.0
100004,64.0,1.0,Mobile,249.0,10.0,High,1.0,No,Big Cities,1.0,3.0
100005,21.0,1.0,Mobile,695.0,4.0,High,3.0,Yes,OTHER,1.0,4.0
100006,83.0,0.0,Desktop,954.0,3.0,Low,3.0,No,OTHER,1.0,4.0
100007,18.0,0.0,Mobile,106.0,2.0,Avera,3.0,Yes,OTHER,1.0,3.0
100008,5.0,0.0,Mobile,403.0,2.0,High,3.0,No,OTHER,1.0,3.0
100009,84.0,0.0,Desktop,744.0,15.0,Avera,4.0,Yes,Trekking,1.0,4.0
100010,25.0,0.0,Desktop,954.0,13.0,Low,4.0,Yes,Islands,1.0,3.0
100011,27.0,1.0,Desktop,671.0,6.0,Avera,2.0,No,OTHER,1.0,5.0
100012,65.0,1.0,Desktop,262.0,6.0,High,1.0,No,Beach,1.0,2.0
100013,78.0,1.0,Desktop,829.0,12.0,Avera,1.0,No,Hill Station,1.0,5.0
100014,9.0,1.0,Mobile,49.0,6.0,High,5.0,No,Islands,1.0,4.0
100015,54.0,0.0,Desktop,727.0,0.0,High,2.0,Yes,OTHER,1.0,2.0
100016,51.0,0.0,Mobile,144.0,11.0,Avera,2.0,Yes,OTHER,1.0,5.0
100017,64.0,1.0,Mobile,49.0,15.0,Avera,4.0,No,Hill Station,1.0,5.0
100018,49.0,0.0,Desktop,794.0,1.0,Low,2.0,No,Beach,1.0,1.0
100019,95.0,0.0,Mobile,634.0,2.0,Avera,1.0,No,Trekking,1.0,3.0
100020,43.0,1.0,Desktop,509.0,8.0,Avera,4.0,Yes,Tech Cities,1.0,1.0
100021,5.0,0.0,Mobile,636.0,13.0,Avera,4.0,Yes,Tech Cities,0.0,4.0
100022,77.0,1.0,Mobile,899.0,12.0,Low,2.0,Yes,Hill Station,1.0,1.0
100023,70.0,0.0,Desktop,665.0,12.0,Low,5.0,No,OTHER,1.0,3.0
100024,39.0,0.0,Desktop,820.0,3.0,High,1.0,No,Islands,1.0,4.0
100025,76.0,0.0,Desktop,790.0,8.0,Avera,3.0,Yes,OTHER,1.0,2.0
100026,32.0,0.0,Mobile,615.0,14.0,Avera,4.0,No,OTHER,1.0,5.0
100027,94.0,0.0,Mobile,55.0,2.0,High,3.0,Yes,Trekking,1.0,3.0
100028,88.0,1.0,Desktop,694.0,9.0,Low,3.0,No,Hill Station,1.0,1.0
100029,23.0,0.0,Desktop,187.0,3.0,Low,1.0,Yes,OTHER,1.0,2.0
100030,9.0,0.0,Mobile,49.0,0.0,High,2.0,No,Hill Station,1.0,4.0
100031,54.0,1.0,Desktop,195.0,8.0,Avera,1.0,No,Historical Site,1.0,2.0
100032,11.0,0.0,Mobile,954.0,1.0,High,2.0,No,Beach,1.0,5.0
100033,47.0,0.0,Mobile,134.0,15.0,Low,2.0,Yes,Tech Cities,1.0,4.0
